year,date,type,registration,operator,fatalities,location,country,category,damage,season
2005,2005-03-15,Antonov An-26B-100,OB-1778-P,ATSA,0,Lima-J Chavez In...,Peru,Accident,repairable damage,Spring
2005,2005-03-16,Antonov An-24RV,RA-46489,"Kuzbassaviafrakht, op.for Regional Airlines",28,near Varandey Airport...,Russia,Accident,hull-loss,Spring
2005,2005-03-18,Canadair CL-415,I-DPCK,"Civil Protection Department, op.for SOREM",2,Forte dei Marmi,Italy,Accident,hull-loss,Spring
2005,2005-03-19,Boeing 707-3K1C,9G-IRL,"Cargo Plus Aviation, op.for Ethiopian Airlines",0,Entebbe Airport ...,Uganda,Accident,hull-loss,Spring
2005,2005-03-19,Beech C99,C-FJMF,Courtesy Air,0,Winnipeg-James A...,Canada,Accident,repairable damage,Spring
2005,2005-03-23,Ilyushin Il-76TD,ER-IBR,Airline Transport,8,near Mwanza Airport (...,Tanzania,Accident,hull-loss,Spring
2005,2005-03-24,MD-88,EC-FLK,Iberia,0,Madrid-Barajas A...,Spain,Other Occurrence,hull-loss,Spring
2005,2005-03-25,Antonov An-2R,UR-17998,Mariupol'sky Metallurgical Combine,0,near Sakhanka,Russia,Accident,hull-loss,Spring
2005,2005-03-26,Let L-410UVP-E,HK-4146,West Caribbean Airways,9,Providencia-El E...,Colombia,Accident,hull-loss,Spring
2005,2005-03-28,Ilyushin Il-18D-40,CU-T1539,"Aerocaribbean, opf Cubana",0,Caracas-SimÃ³n B...,Venezuela,Accident,hull-loss,Spring
2005,2005-03-29,Cessna 208B Grand Caravan,PT-MPA,Penta,0,Itaituba-Fazenda...,Brazil,Accident,hull-loss,Spring
2005,2005-03-29,Antonov An-2R,YV-2447P,Unknown,0,PapelÃ³n,Venezuela,Accident,repairable damage,Spring
2005,2005-03-30,Swearingen SA227-AC Metro III,N811BC,IBC Airways,0,Miami-Dade Colli...,USA,Accident,hull-loss,Spring
2005,2005-03-31,Lockheed MC-130H Combat Talon II,87-0127,USAF,9,near Rovie,Albania,Accident,hull-loss,Spring
2005,2005-03-31,Antonov An-12B,UN-11007,"Irbis, op.for Air BAS Transportation",0,Mukalla-Al-Rayya...,Yemen,Accident,hull-loss,Spring
2005,2005-03-31,Antonov An-28,3C-ZZY,Gran Propeller,3,near Kampene,D.R. Congo,Accident,hull-loss,Spring
2005,2005-04-07,Fokker F-28 Fellowship 4000,HC-CDA,ICARO,0,Coca Airport (OCC),Ecuador,Accident,hull-loss,Spring
2005,2005-04-12,DHC-6 Twin Otter 100,PK-LTZ,GT Air,17,near Enarotali,Indonesia,Accident,hull-loss,Spring
2005,2005-04-18,Beech B200 Catpass 250,OB-1700,Aero Condor,0,near Lima-Jorge Chave...,Peru,Accident,hull-loss,Spring
2005,2005-04-20,Boeing 707-3J9C,EP-SHE,Saha Air,3,Tehran-Mehrabad ...,Iran,Accident,hull-loss,Spring
2005,2005-04-20,Lockheed P-3B Orion,N926AU,Aero Union,3,"near Chico, CA",USA,Accident,hull-loss,Spring
2005,2005-04-21,DHC-6 Twin Otter 300,DQ-FIE,Sun Air Pacific,0,Savusavu Airport...,Fiji,Accident,repairable damage,Spring
2005,2005-04-21,Embraer EMB-110P2 Bandeirante,DQ-AFP,Air Fiji,0,Savusavu Airport...,Fiji,Accident,hull-loss,Spring
2005,2005-04-24,Antonov An-2,,Ulyanovsk ROSTO,0,Bagay-Baranovka ...,Russia,Accident,hull-loss,Spring
2005,2005-04-25,Antonov An-12BP,UN-11003,ATMA Airlines,0,Kabul Airport (KBL),Afghanistan,Accident,hull-loss,Spring
2005,2005-04-25,Antonov An-2R,RA-40490,Aviakhim,0,near Verkhnyaya Khava,Russia,Accident,hull-loss,Spring
2005,2005-04-28,Let L-410UVP,EP-830,Peruvian Army,13,near Pisco,Peru,Accident,hull-loss,Spring
2005,2005-05-01,DHC-8-103,LN-WIK,WiderÃ¸es Flyveselskap,0,Hammerfest Airpo...,Norway,Accident,hull-loss,Spring
2005,2005-05-02,Fairchild SA227-AC Metro III,ZK-POA,Airwork NZ,2,near Stratford,New Zealand,Accident,hull-loss,Spring
2005,2005-05-05,Antonov An-26B,EK-26060,"Aeroworld, op.for Kisangani Airlift",10,near Kisangani,D.R. Congo,Accident,hull-loss,Spring
2005,2005-05-05,DC-9-31,N960N,Northwest Airlines,0,Minneapolis-St P...,USA,Other Occurrence,hull-loss,Spring
2005,2005-05-06,Fairchild SA227-AC Metro III,C6-REX,Western Air,0,Nassau Internati...,Bahamas,Accident,repairable damage,Spring
2005,2005-05-07,Fairchild SA227-DC Metro 23,VH-TFU,"Transair Australia, op.for Aero-Tropics",15,near Lockhart River A...,Australia,Accident,hull-loss,Spring
2005,2005-05-09,Rockwell Sabreliner 80,N972NR,Compass Acquisitions,0,Brownwood Airpor...,USA,Accident,repairable damage,Spring
2005,2005-05-10,DC-9-51,N763NC,Northwest Airlines,0,Minneapolis-St P...,USA,Accident,hull-loss,Spring
2005,2005-05-10,Airbus A319-114,N368NB,Northwest Airlines,0,Minneapolis-St P...,USA,Accident,repairable damage,Spring
2005,2005-05-10,Swearingen SA226-TC Metro II,C-FKEX,Perimeter Aviation,0,Thompson Airport...,Canada,Accident,hull-loss,Spring
2005,2005-05-11,Antonov An-2,UR-84559,Bosfor,2,Kolyadinets,Ukraine,Accident,hull-loss,Spring
2005,2005-05-15,Cessna 525A CitationJet CJ2,OY-JET,Weibel Scientific,0,Atlantic City-Ba...,USA,Accident,repairable damage,Spring
2005,2005-05-16,BN-2A-26 Islander,C6-ASA,Flamingo Air Charter,0,near Exuma Internatio...,Bahamas,Accident,hull-loss,Spring
2005,2005-05-18,Harbin Yunshuji Y-12 II,AF-216,Zambian Air Force,13,near Mongu Airport (MNR),Zambia,Accident,hull-loss,Spring
2005,2005-05-18,Airbus A320-211,JY-JAR,"Jordan Aviation, op.for LTE International Airways",0,Leeds/Bradford A...,U.K.,Accident,repairable damage,Spring
2005,2005-05-20,Dassault Falcon 20C,RA-09007,Jet 2000,0,Moskva-Sheremety...,Russia,Accident,hull-loss,Spring
2005,2005-05-22,Boeing 767-31KER,C-GLMC,Skyservice Airlines,0,Punta Cana Airpo...,Dominican Rep.,Accident,repairable damage,Spring
2005,2005-05-24,Beech 300 King Air 350,YV-783CP,Polar Agroservicios/Transpolar Company,2,Caracas,Venezuela,Accident,hull-loss,Spring
2005,2005-05-25,Antonov An-12BP,9Q-CVG,Victoria Air,27,near Biega,D.R. Congo,Accident,hull-loss,Spring
2005,2005-06-02,Antonov An-24B,ST-WAL,"al-Majal Company, op.for Marsland Aviation",7,Khartoum-Civil A...,Sudan,Accident,hull-loss,Summer
2005,2005-06-02,Let L-410UVP-E3,TG-TAG,TAG,0,near Zacapa Airport,Guatemala,Accident,hull-loss,Summer
2005,2005-06-04,DHC-6 Twin Otter 200,N3434,AerOhio,0,"near Rittman, OH",USA,Accident,hull-loss,Summer
2005,2005-06-06,Douglas DC-3A,HK-3462,TARI,0,near Miraflores Airpo...,Colombia,Accident,hull-loss,Summer
2005,2005-06-07,MD-11F,N250UP,UPS,0,Louisville-Stand...,USA,Accident,repairable damage,Summer
2005,2005-06-08,Saab 340A,N40SZ,"United Express, opb Shuttle America",0,Washington-Dulle...,USA,Accident,hull-loss,Summer
2005,2005-06-10,Hawker Siddeley HS-780 Andover C.1,5Y-SFE,748 Air Services,0,Lokichoggio Airp...,Kenya,Accident,hull-loss,Summer
2005,2005-06-10,Lockheed L-100-30 Hercules,S9-BAS,"UN, opb Transafrik",0,Lokichoggio Airp...,Kenya,Accident,hull-loss,Summer
2005,2005-06-12,Boeing 727-2M7,5N-BCF,Chanchangi Airlines,0,Lagos-Murtala Mu...,Nigeria,Accident,repairable damage,Summer
2005,2005-06-13,Douglas Super R4D-8 (DC-3S),N3906J,Air Pony Express,0,near Fort Lauderdale-...,USA,Accident,hull-loss,Summer
2005,2005-06-13,Beech 200 Super King Air,YV-2834P,Private,0,Caracas-SimÃ³n B...,Venezuela,Accident,repairable damage,Summer
2005,2005-06-15,Dornier Do 28D-2 Skyservant,YV-664CP,Revemin-Bonanza Mining,0,near El Callao,Venezuela,Accident,hull-loss,Summer
2005,2005-06-19,Douglas C-47B (DC-3),9Q-CWI,Wimbi Dira Airways,0,Kalima Airport (...,D.R. Congo,Accident,hull-loss,Summer
2005,2005-06-19,Boeing 707-347C,C5-MBM,Mahfooz Aviation,0,Addis Ababa-Bole...,Ethiopia,Accident,hull-loss,Summer
2005,2005-06-24,DHC-3T Vazar Turbine Otter,C-FXUY,Air Tindi,0,Yellowknife Wate...,Canada,Accident,hull-loss,Summer
2005,2005-06-27,Boeing 737-2K5,C6-BFM,Bahamasair,0,Nassau Internati...,Bahamas,Accident,repairable damage,Summer
2005,2005-06-28,Cessna 208 Caravan I,N9324F,Air Serv International,0,Matemo Airport,Mozambique,Accident,hull-loss,Summer
2005,2005-06-29,Fokker 100,5N-COO,IRS Airlines,0,Lagos-Murtala Mu...,Nigeria,Accident,repairable damage,Summer
2005,2005-06-29,Antonov An-26,9Q-CAW,"Volga Atlantic Airlines, op.for Mango Airlines",0,Goma Airport (GOM),D.R. Congo,Accident,hull-loss,Summer
2005,2005-06-30,Dornier 228-201,9N-AEO,Gorkha Airlines,0,Lukla Airport (LUA),Nepal,Accident,hull-loss,Summer
2005,2005-07-01,DC-10-30ER,S2-ADN,Biman Bangladesh,0,Chittagong-Shah ...,Bangladesh,Accident,hull-loss,Summer
2005,2005-07-15,Learjet 35A,N620JM,Aspen Aviation,0,Vail-Eagle Count...,USA,Accident,hull-loss,Summer
2005,2005-07-16,Antonov An-24B,3C-VQR,Equatorial Express Airlines,60,near Baney,Eq. Guinea,Accident,hull-loss,Summer
2005,2005-07-17,Cessna 525 CitationJet,N13FH,Hertrich Aviation,0,Old Bridge Airpo...,USA,Accident,hull-loss,Summer
2005,2005-07-19,Yakovlev Yak-40,RP-C2803,Interisland Airlines,0,Caticlan-Malay A...,Philippines,Accident,hull-loss,Summer
2005,2005-07-21,IPTN/CASA CN-235M-10,A-2301,Indonesian AF,3,Lhokseumawe-Mali...,Indonesia,Accident,hull-loss,Summer
2005,2005-07-22,Cessna 208B Grand Caravan,N717BT,CorpJet/Baltimore Air Transport,0,near Globe-San Carlos...,USA,Accident,hull-loss,Summer
2005,2005-07-26,Cessna 208B Grand Caravan,TG-APG,AÃ©reo Ruta Maya,2,near Hierba Buena,Guatemala,Accident,hull-loss,Summer
2005,2005-07-28,Beech 200 Super King Air,C-FCGL,Northern Thunderbird Air,2,near Shovelnose Creek...,Canada,Accident,hull-loss,Summer
2005,2005-08-01,Canadair CL-415,F-ZBEO,SecuritÃ© Civile,2,near Calvi,France,Accident,hull-loss,Summer
2005,2005-08-02,Airbus A340-313X,F-GLZQ,Air France,0,Toronto-Pearson ...,Canada,Accident,hull-loss,Summer
2005,2005-08-04,DHC-3 Otter,C-FQEI,Air Nootka,0,"Louie Lagoon, No...",Canada,Accident,repairable damage,Summer
2005,2005-08-04,DHC-3 Otter,C-FQEI,Air Nootka,0,"Louis Lagoon, BC",Canada,Accident,repairable damage,Summer
2005,2005-08-06,ATR 72-202,TS-LBB,Tuninter,16,near Palermo-Punta Ra...,Italy,Accident,hull-loss,Summer
2005,2005-08-08,Antonov An-12BP,T-300,Angolan AF,0,Luena Airport (LUO),Angola,Accident,hull-loss,Summer
2005,2005-08-09,Antonov An-26,,Yemen AF,1,near Mukalla,Yemen,Accident,hull-loss,Summer
2005,2005-08-12,HESA IrAn-140,EP-SFD,Safiran Airlines,0,Arak Airport (AJK),Iran,Accident,hull-loss,Summer
2005,2005-08-14,Boeing 737-31S,5B-DBY,Helios Airways,121,near Grammatikos,Greece,Accident,hull-loss,Summer
2005,2005-08-14,Dornier Do 28D-2 Skyservant,YV-740C,Linea AÃ©reo-Taxi Wayumi,1,near Puerto Ayacucho ...,Venezuela,Accident,hull-loss,Summer
2005,2005-08-15,Grumman C-2A Greyhound,162178,US Navy,0,Norfolk NAS Cham...,USA,Accident,repairable damage,Summer
2005,2005-08-16,DC-9-82 (MD-82),HK-4374X,West Caribbean Airways,160,near Machiques,Venezuela,Accident,hull-loss,Summer
2005,2005-08-19,Boeing 747-251B,N627US,Northwest Airlines,0,Guam-A.B. Won Pa...,Guam,Accident,hull-loss,Summer
2005,2005-08-19,Cessna 208 Caravan I,C-GUAY,Guay,0,"Rapid Lake, QC",Canada,Accident,repairable damage,Summer
2005,2005-08-21,BN-2B-27 Islander,ZS-PCJ,private,0,near Durban-Virginia ...,South Africa,Accident,hull-loss,Summer
2005,2005-08-23,Boeing 737-244,OB-1809-P,TANS,40,near Pucallpa-Cap. FA...,Peru,Accident,hull-loss,Summer
2005,2005-08-25,Cessna 208 Caravan I,N208CP,Country Flyin,0,"Deerfield Beach, FL",USA,Other Occurrence,hull-loss,Summer
2005,2005-08-29,DHC-8-202Q Dash 8,N363PH,Horizon Air,0,Portland Interna...,USA,Accident,repairable damage,Summer
2005,2005-08-29,Airbus A330-223,N855NW,Northwest Airlines,0,Portland Interna...,USA,Accident,repairable damage,Summer
2005,2005-09-01,Dassault Falcon 20D,N821AA,USA Jet Airlines,0,Lorain County Re...,USA,Accident,hull-loss,Fall
2005,2005-09-02,Antonov An-2TP,SP-ANA,Aeroklub Ziemi Lubuskiej,0,near Zielona GÃ³ra,Poland,Accident,hull-loss,Fall
2005,2005-09-04,Antonov An-2R,RA-00901,ROSTO Polyot,3,near Ekimchan,Russia,Accident,hull-loss,Fall
2005,2005-09-05,Boeing 737-230,PK-RIM,Mandala Airlines,149,Medan-Polonia Ai...,Indonesia,Accident,hull-loss,Fall
2005,2005-09-05,Antonov An-26B,ER-AZT,"Aerocom, op.for Galaxy Incorporation",11,near Isiro-Matari (IRP),D.R. Congo,Accident,hull-loss,Fall
2005,2005-09-08,DHC-6 Twin Otter 300,9Q-CBO,TMK Air Commuter,0,Murambi,D.R. Congo,Accident,hull-loss,Fall
2005,2005-09-09,BN-2B-20 Islander,PK-VIA,Dirgantara Air Services,0,Samarinda,Indonesia,Accident,hull-loss,Fall
2005,2005-09-09,Antonov An-26B,9Q-CFD,Air Kasai,13,near Brazzaville,Congo,Accident,hull-loss,Fall
2005,2005-09-09,Cessna 501 Citation I/SP,I-AROM,"Unifly, op.for Aeroitalia",0,Roma-Ciampino Ai...,Italy,Accident,hull-loss,Fall
2005,2005-09-11,NAMC YS-11-500R,HS-KVO,Phuket Airlines,0,Mae Sot Airport ...,Thailand,Accident,hull-loss,Fall
2005,2005-09-12,DHC-8-301,HK-4030X,AIRES Colombia,0,BogotÃ¡-Eldorado...,Colombia,Hijacking,repairable damage,Fall
2005,2005-09-16,Cessna 525 CitationJet,PT-WLX,ViaÃ§Ã£o Cometa,2,Alto da Boa Vist...,Brazil,Accident,hull-loss,Fall
2005,2005-09-18,Airbus A321-231,N583NK,Spirit Airlines,0,Fort Lauderdale ...,USA,Accident,repairable damage,Fall
2005,2005-09-19,Swearingen SA227-AC Metro III,PH-DYM,Dynamic Air,0,Rotterdam Airpor...,Netherlands,Accident,hull-loss,Fall
2005,2005-09-21,Antonov An-2,,Panafrican Airways,2,near Bukavu,D.R. Congo,Accident,hull-loss,Fall
2005,2005-09-24,Boeing E-8C (707),96-0042,USAF,0,Lake Charles Mun...,USA,Other Occurrence,repairable damage,Fall
2005,2005-09-26,Grumman G-159 Gulfstream I,YV1020,Unknown,0,near San AndrÃ©s,Colombia,Other Occurrence,hull-loss,Fall
2005,2005-09-26,Grumman American G-1159 Gulfstream II SP,N435GM,"Reaud, Morgan & Quinn Inc",0,Beaumont Municip...,USA,Other Occurrence,hull-loss,Fall
2005,2005-09-26,DHC-3T/M601 Turbine Otter,C-GKYG,Alkan Air,0,"May Creek, YT",Canada,Accident,repairable damage,Fall
2005,2005-09-30,Cessna 550 Citation II,N77ND,University of North Dakota,0,"near Fort Yukon, AK",USA,Accident,hull-loss,Fall
2005,2005-10-04,Antonov An-12,9Q-CWC,Wimbi Dira Airways,2,Aru Airport,D.R. Congo,Accident,hull-loss,Fall
2005,2005-10-06,Cessna 208B Super Cargomaster,C-FEXS,"FedEx, opb Morningstar Air Express",1,near Winnipeg Airport...,Canada,Accident,hull-loss,Fall
2005,2005-10-07,DHC-8-311Q Dash 8,G-BRYW,British Airways Citiexpress,0,Aberdeen-Dyce Ai...,U.K.,Accident,repairable damage,Fall
2005,2005-10-09,CASA C-212 Aviocar 100,T.12B-29,Spanish AF,0,Gerona-Costa Bra...,Spain,Accident,hull-loss,Fall
2005,2005-10-09,Cessna 208 Caravan I,PR-RTA,RICO,0,"Rio Negro, AM",Brazil,Accident,hull-loss,Fall
2005,2005-10-09,Boeing 737-4Q8,VT-SID,Air Sahara,0,Mumbai-Chhatrapa...,India,Accident,hull-loss,Fall
2005,2005-10-12,Beech 99A,C-GZAM,Air Mikisew,0,Lac La Biche Air...,Canada,Accident,repairable damage,Fall
2005,2005-10-16,Beech 1900D,N144ZV,"Air Midwest, op.for US Airways Express",0,Ogdensburg Airpo...,USA,Accident,repairable damage,Fall
2005,2005-10-18,Cessna 208B Super Cargomaster,N978FE,"FedEx, op.for Baron Aviation",0,"near Round Rock, TX",USA,Accident,hull-loss,Fall
2005,2005-10-19,Antonov An-2R,RA-40943,Naryan-Mar Air Enterprise,0,near Labozhskoe,Russia,Accident,hull-loss,Fall
2005,2005-10-22,Boeing 737-2L9,5N-BFN,Bellview Airlines,117,"Lisa Village, Og...",Nigeria,Accident,hull-loss,Fall
2005,2005-10-22,BN-2A Trislander Mk.III-3,XA-TYU,Aerolamsa,0,Playa del Carmen...,Mexico,Other Occurrence,repairable damage,Fall
2005,2005-10-22,Let L-410UVP,XA-TAU,Aero Ferinco,0,Playa del Carmen...,Mexico,Other Occurrence,hull-loss,Fall
2005,2005-10-23,Grumman G-73 Mallard,N611SS,US Distributors,0,Miami Seaplane B...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Cessna 208B Grand Caravan,N1263Y,Bering Air,0,"near Unalakleet, AK",USA,Accident,repairable damage,Fall
2005,2005-10-24,Let L-410UVP,XA-SXX,Mayair,0,Fort Lauderdale-...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Boeing 727-277F,C-GACC,All Canada Express,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Douglas DC-3A,N7500A,private,0,Opa-locka Airpor...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Antonov An-2R,YV1108,Unknown,0,Fort Lauderdale-...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,ATR 42-320,D4-CBH,TACV,0,Dakar-Yoff Airpo...,Senegal,Accident,repairable damage,Fall
2005,2005-10-24,Boeing 727-231,N54344,ART 21631,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Beech Beechjet 400A,N611PA,Suncoast Aviation,0,Boca Raton Publi...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Cessna S550 Citation S/II,N224KC,Tri-state Executive Air,0,Boca Raton Publi...,USA,Other Occurrence,repairable damage,Fall
2005,2005-10-24,Learjet 35,N435UJ,EHR Aviation,0,Boca Raton Publi...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Learjet 55,N110ET,Pontiac Aviation,0,Boca Raton Publi...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-24,Lockheed L-1329-25 JetStar II,N375MD,GLE Aircraft,0,Fort Lauderdale-...,USA,Other Occurrence,hull-loss,Fall
2005,2005-10-26,Learjet 25D,N888DV,Best AeroNet Aviation,0,Sacramento-McCle...,USA,Accident,hull-loss,Fall
2005,2005-10-30,Let L-410UVP-E19A,9A-BTA,Trade Air,3,near Bergamo-Orio Al ...,Italy,Accident,hull-loss,Fall
2005,2005-10-31,Boeing 727-22F,9Q-CPJ,MIBA Aviation,0,Kindu Airport (KND),D.R. Congo,Accident,hull-loss,Fall
2005,2005-11-04,PZL-Mielec M28-05 Skytruck,312,Vietnam People's Air Force,3,Dong Xuyen,Vietnam,Accident,hull-loss,Fall
2005,2005-11-04,Antonov An-24RV,RA-46618,SAT Airlines,0,Yuzhno-Sakhalins...,Russia,Accident,hull-loss,Fall
2005,2005-11-05,Cessna 500 Citation I,N505K,HCEA,2,Houston-Hobby Ai...,USA,Accident,hull-loss,Fall
2005,2005-11-07,Dornier 328JET-310,B-3971,Hainan Airlines,0,Korla Airport (KRL),China,Accident,repairable damage,Fall
2005,2005-11-08,Embraer EMB-110P1 Bandeirante,N7801Q,AirNow,0,near Manchester Munic...,USA,Accident,hull-loss,Fall
2005,2005-11-11,Ilyushin Il-76TD,4L-ZIL,"Global Georgian Airways, op.for Royal Airlines Cargo",8,Khak-e Shahidan,Afghanistan,Accident,hull-loss,Fall
2005,2005-11-14,BAe-146-200,RP-C2995,Asian Spirit,0,Catarman-Nationa...,Philippines,Accident,hull-loss,Fall
2005,2005-11-15,Cessna 208 Caravan I,N117SA,Shoreline Aviation,0,"near South Hampton, NY",USA,Accident,repairable damage,Fall
2005,2005-11-16,IAI 1125 Astra SPX,C-FHRL,Jetport,0,Hamilton-John Mu...,Canada,Accident,repairable damage,Fall
2005,2005-11-18,Antonov An-2TP,RA-02252,Polyarnye Avialinii,0,near Sangar,Russia,Accident,hull-loss,Fall
2005,2005-11-18,BN-2A-21 Islander,V3-HFO,Blancaneaux Lodge,3,near Privacion Airstrip,Belize,Accident,hull-loss,Fall
2005,2005-11-19,Cessna 208B Grand Caravan,P4-OIN,Ivolga-Avia,8,near Stupino,Russia,Accident,hull-loss,Fall
2005,2005-11-21,Xian Yunshuji Y-7-100C,XU-072,"PMT Air, lsf Royal Phnom Penh Airways",0,Ratanakiri-Ban L...,Cambodia,Accident,hull-loss,Fall
2005,2005-11-23,Antonov An-2R,9A-BAD,Krila Kvarnera,0,Grobnik Airport,Croatia,Other Occurrence,repairable damage,Fall
2005,2005-11-28,Beech 200 Super King Air,N73MW,private,2,Kaduna Airport (...,Nigeria,Accident,hull-loss,Fall
2005,2005-11-30,CASA/Nurtanio NC-212 Aviocar,PK-ZAI,Sabang Merauke Raya Air Charter,0,Sinabang-Lasikin...,Indonesia,Accident,repairable damage,Fall
2005,2005-12-06,Lockheed C-130E Hercules,5-8519,Iran AF,106,Tehran,Iran,Accident,hull-loss,Winter
2005,2005-12-07,DC-9-32,9Q-CWF ?,"Wetrafa, op.for Wimbi Dira Airways",0,Kinshasa-N'Djili...,D.R. Congo,Accident,repairable damage,Winter
2005,2005-12-08,Boeing 737-7H4 (WL),N471WN,Southwest Airlines,1,Chicago-Midway A...,USA,Accident,repairable damage,Winter
2005,2005-12-09,Embraer EMB-110P1 Bandeirante,N790RA,AirNow,0,near Orangeburg Munic...,USA,Accident,hull-loss,Winter
2005,2005-12-10,DC-9-32,5N-BFD,Sosoliso Airlines,108,Port Harcourt Ai...,Nigeria,Accident,hull-loss,Winter
2005,2005-12-16,DHC-6 Twin Otter 300,TI-AZQ,Nature Air,0,near Tamarindo Airpor...,Costa Rica,Accident,hull-loss,Winter
2005,2005-12-19,Grumman G-73T Turbo Mallard,N2969,Chalk's,20,"Miami, FL",USA,Accident,hull-loss,Winter
2005,2005-12-22,Beech B200 King Air,C-FSAT,Slave Air,0,Valleyview Airpo...,Canada,Accident,repairable damage,Winter
2005,2005-12-23,Antonov An-140-100,4K-AZ48,Azerbaijan Airlines,23,near Nardaran,Azerbaijan,Accident,hull-loss,Winter
2005,2005-12-23,Boeing 707-373C,9L-LDU,Koda Air,0,Istanbul-Sabiha ...,Turkey,Other Occurrence,hull-loss,Winter
2005,2005-12-23,Antonov An-24RV,ER-AZX,"Pecotox Air, op.for AÃ©ro-Service",0,Pokola,Congo,Accident,repairable damage,Winter
2005,2005-12-24,Antonov An-28,ER-AJE,"Tepavia Trans, op.for African Union",2,Zalingei,Sudan,Accident,hull-loss,Winter
2005,2005-12-24,Cessna 208B Super Cargomaster,N753FE,"FedEx, op.for Empire Airlines",0,Portland Interna...,USA,Accident,hull-loss,Winter
2005,2005-12-26,Beech A100 King Air,YV1507,Unknown,0,near Paparo,Venezuela,Accident,hull-loss,Winter
2005,2005-12-28,Learjet 35A,N781RS,Skyward Aviation,2,"near Truckee Airport,...",USA,Accident,hull-loss,Winter
2005,2005-12-30,Beech A100 King Air,C-GAPK,Transwest Air,0,La Ronge Airport...,Canada,Accident,hull-loss,Winter
2006,2006-01-02,BAe-125-700A,P4-AOD,Avcom,3,near Kharkov Airport ...,Ukraine,Accident,hull-loss,Winter
2006,2006-01-03,Antonov An-26,,Ruwenzori Air Asala,0,Fataki,D.R. Congo,Accident,repairable damage,Winter
2006,2006-01-05,Douglas C-54G (DC-4),C-GXKN,Buffalo Airways,0,Norman Wells Air...,Canada,Accident,hull-loss,Winter
2006,2006-01-05,Beech A100 King Air,N700NC,North Country Aviation,0,Sault Ste Marie ...,USA,Accident,hull-loss,Winter
2006,2006-01-05,Cessna 560 Citation Ultra,N391QS,NetJets,0,Minocqua-Noble F...,USA,Accident,repairable damage,Winter
2006,2006-01-09,Dassault Falcon 20E,15-2233,Iranian Revolutionary Guard,11,near Orumiyeh,Iran,Accident,hull-loss,Winter
2006,2006-01-10,DHC-6 Vista Liner 300,TI-BAF,Nature Air,0,Puerto JimÃ©nez ...,Costa Rica,Accident,repairable damage,Winter
2006,2006-01-10,Rockwell T-39N Sabreliner,165524,US Navy,4,"near Villanow, GA",USA,Accident,hull-loss,Winter
2006,2006-01-12,Beech B300 King Air 350,D-CUNO,Euroflug Frenzel,2,near Freiburg Im Brei...,Germany,Accident,hull-loss,Winter
2006,2006-01-13,Learjet 24F,ZS-FUN,SOS Air Ambulance,0,Kinshasa-N'Djili...,D.R. Congo,Accident,repairable damage,Winter
2006,2006-01-15,Cessna 550 Citation S/II,N460M,Security Aviation,0,Anchorage-Ted St...,USA,Accident,repairable damage,Winter
2006,2006-01-19,Antonov An-24V,5605,Slovak AF,42,near Hejce,Hungary,Accident,hull-loss,Winter
2006,2006-01-21,Cessna 208B Grand Caravan,C-GRXZ,Sonicblue Airways,3,"near Port Alberni, BC",Canada,Accident,hull-loss,Winter
2006,2006-01-24,Cessna 560 Citation V,N86CE,Goship Air,4,Carlsbad-McClell...,USA,Accident,hull-loss,Winter
2006,2006-01-24,Antonov An-12A,9Q-CER,Aerolift,0,Mbuji-Mayi Airpo...,D.R. Congo,Accident,hull-loss,Winter
2006,2006-01-25,Cessna 208B Grand Caravan,VH-WZJ,Aero-Tropics,0,Caloundra Airpor...,Australia,Accident,repairable damage,Winter
2006,,BAe 3102 Jetstream 31,HH-DPL,Caribintair,0,Cap Haitien Airp...,Haiti,Accident,hull-loss,
2006,2006-02-01,Cessna 500 Citation I,N814ER,Flite Services,0,Burnsville-Mount...,USA,Accident,hull-loss,Winter
2006,2006-02-02,Boeing 747-422,N127UA,United Airlines,0,Melbourne-Tullam...,Australia,Accident,repairable damage,Winter
2006,2006-02-02,Boeing 767-338ER,VH-OGH,Qantas,0,Melbourne-Tullam...,Australia,Accident,repairable damage,Winter
2006,2006-02-03,Beech 200 Super King Air,N266EB,Private,6,Myrtle Beach-Gra...,USA,Accident,hull-loss,Winter
2006,2006-02-05,Shorts 360-100,N3735W,Air Cargo Carriers,3,"near Watertown, WI",USA,Accident,hull-loss,Winter
2006,2006-02-05,Shorts 360-300,N372AC,Air Cargo Carriers,0,Juneau-Dodge Cou...,USA,Accident,repairable damage,Winter
2006,2006-02-08,DC-8-71F,N748UP,UPS,0,Philadelphia Int...,USA,Accident,hull-loss,Winter
2006,2006-02-08,Swearingen SA226-TC Metro II,N629EK,TriCoastal Air,1,"near Paris, TN",USA,Accident,hull-loss,Winter
